id,report_number,origin,sponsor_entity_id,sponsor_id,sponsor_name,sponsor_description,report_type,report_date,election_year,sponsor_address,sponsor_city,sponsor_state,sponsor_zip,sponsor_email,total_unitemized,total_cycle,total_this_report,expenditure_amount,expenditure_description,date_expense_obligated,date_advertising_presented,vendor_name,vendor_address,vendor_city,vendor_state,vendor_zipcode,url,sponsor_location,vendor_location,candidate_name,ballot_name,ballot_number,ballot_type,portion_of_amount,for_or_against,sponsor_phone,candidate_entity_id,candidate_candidacy_id,candidate_committee_id,candidate_filer_id,candidate_last_name,candidate_first_name,candidate_office,candidate_jurisdiction,candidate_party,filer_id,funders_name,date_received,amount,funders_address,funders_city,funders_state,funders_zipcode,funders_location,funders_first_name,funders_occupation,funders_employer,funders_employer_city,funders_employer_state
2892.source,7099,C6.5 - Funding Sources,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7099'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,,,,,,,,,,,,,,,,,,THE LEADERSHIP COUNCIL,2016-10-11T00:00:00.000,200000.00,POST OFFICE BOX 11025,OLYMPIA,WA,98508,"{'type': 'Point', 'coordinates': [-122.93916, 47.03623]}",,,,,
2891.source,7099,C6.5 - Funding Sources,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7099'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,,,,,,,,,,,,,,,,,,THE LEADERSHIP COUNCIL,2016-10-03T00:00:00.000,150000.00,POST OFFICE BOX 11025,OLYMPIA,WA,98508,"{'type': 'Point', 'coordinates': [-122.93916, 47.03623]}",,,,,
2890.source,7099,C6.5 - Funding Sources,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7099'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,,,,,,,,,,,,,,,,,,THE LEADERSHIP COUNCIL,2016-09-26T00:00:00.000,100000.00,POST OFFICE BOX 11025,OLYMPIA,WA,98508,"{'type': 'Point', 'coordinates': [-122.93916, 47.03623]}",,,,,
2889.source,7099,C6.5 - Funding Sources,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7099'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,,,,,,,,,,,,,,,,,,THE LEADERSHIP COUNCIL,2016-09-09T00:00:00.000,50000.00,POST OFFICE BOX 11025,OLYMPIA,WA,98508,"{'type': 'Point', 'coordinates': [-122.93916, 47.03623]}",,,,,
14079.entity,7092,C6.3 - Identified Entities,33877,600,PLANNED PARENTHOOD VOTES NORTHWEST ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2016-10-26T00:00:00.000,2016,2001 E MADISON,SEATTLE,WA,98122,,0.00,81363.02,698.61,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7092'},"{'type': 'Point', 'coordinates': [-122.30516, 47.61744]}",,  ,RAISE UP WASHINGTON,1433,STATEWIDE,279.45,For,,,,,,,,,,,,,,,,,,,,,,,,
2897.source,7106,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7106'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-17T00:00:00.000,400000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2896.source,7106,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7106'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-11T00:00:00.000,300000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2895.source,7106,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7106'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-21T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2894.source,7106,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7106'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-02T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2901.source,7107,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7107'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-17T00:00:00.000,400000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2899.source,7107,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7107'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-21T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2898.source,7107,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7107'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-02T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2905.source,7108,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7108'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-17T00:00:00.000,400000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2904.source,7108,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7108'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-11T00:00:00.000,300000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2903.source,7108,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7108'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-21T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2902.source,7108,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7108'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-02T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2909.source,7109,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7109'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-17T00:00:00.000,400000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2908.source,7109,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7109'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-11T00:00:00.000,300000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2907.source,7109,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7109'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-21T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2906.source,7109,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7109'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-02T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2913.source,7110,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7110'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-17T00:00:00.000,400000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2912.source,7110,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7110'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-10-11T00:00:00.000,300000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2911.source,7110,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7110'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-21T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
2910.source,7110,C6.5 - Funding Sources,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,,,,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7110'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,,,,,,,,,,,,,,,,,,THE REAGAN FUND,2016-09-02T00:00:00.000,100000.00,POST OFFICE BOX 904,OLYMPIA,WA,98507,"{'type': 'Point', 'coordinates': [-122.89604, 47.04087]}",,,,,
14098.entity,7110,C6.3 - Identified Entities,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,0.00,669185.44,18524.10,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7110'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,MARI KRUGER LEAVITT ,,,,18524.10,Against,,25649,4149,10716,KRUGM2 466,KRUGER LEAVITT,MARI,STATE REPRESENTATIVE,LEG DISTRICT 28 - HOUSE,DEMOCRAT,KRUGM2 466,,,,,,,,,,,,,
14097.entity,7109,C6.3 - Identified Entities,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,0.00,650661.34,19219.69,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7109'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,KRISTINE REEVES ,,,,19219.69,Against,,636,4568,16146,REEVK  093,REEVES,KRISTINE,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,DEMOCRAT,REEVK  093,,,,,,,,,,,,,
14096.entity,7108,C6.3 - Identified Entities,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,0.00,631441.65,21247.41,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7108'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,DARCY BURNER ,,,,21247.41,Against,,3972,4495,2279,BURND  014,BURNER,DARCY,STATE REPRESENTATIVE,LEG DISTRICT 05 - HOUSE,DEMOCRAT,BURND  014,,,,,,,,,,,,,
14095.entity,7107,C6.3 - Identified Entities,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,0.00,610194.24,19958.49,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7107'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,CRAIG PATTI ,,,,19958.49,Against,,2103,4641,14820,PATTC  528,PATTI,CRAIG,STATE REPRESENTATIVE,LEG DISTRICT 35 - HOUSE,DEMOCRAT,PATTC  528,,,,,,,,,,,,,
14094.entity,7106,C6.3 - Identified Entities,33199,855,COMMUNITY PROGRESS ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"218 MAIN STREET, PMB 412",KIRKLAND,WA,98034,,0.00,590235.75,25000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7106'},"{'type': 'Point', 'coordinates': [-122.20873, 47.68149]}",,GUN-SAM KIM ,,,,25000.00,Against,,26015,4176,10322,KIM G2 606,KIM,GUN-SAM,STATE REPRESENTATIVE,LEG DISTRICT 17 - HOUSE,OTHER,KIM G2 606,,,,,,,,,,,,,
14086.entity,7099,C6.3 - Identified Entities,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,0.00,874157.34,47800.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7099'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,LISA WELLMAN ,,,,47800.00,Against,,30266,4480,20980,WELLL  040,WELLMAN,LISA,STATE SENATOR,LEG DISTRICT 41 - SENATE,DEMOCRAT,WELLL  040,,,,,,,,,,,,,
14085.entity,7098,C6.3 - Identified Entities,34108,851,SOUTH SOUND FUTURE PAC ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVE,WA,98004,,0.00,242236.39,45000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7098'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,TERI HICKEL ,,,,45000.00,For,,3810,4245,8737,HICKT  354,HICKEL,TERI,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,REPUBLICAN,HICKT  354,,,,,,,,,,,,,
14084.entity,7097,C6.3 - Identified Entities,34476,778,WORKING FAMILIES ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,"704 228TH AVENUE NE, #104",SAMMAMISH,WA,98074,,0.00,826357.34,73800.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7097'},"{'type': 'Point', 'coordinates': [-122.03541, 47.6164]}",,MARK MULLET ,,,,73800.00,Against,,1117,4709,13719,MULLM  027,MULLET,MARK,STATE SENATOR,LEG DISTRICT 05 - SENATE,DEMOCRAT,MULLM  027,,,,,,,,,,,,,
14083.entity,7096,C6.3 - Identified Entities,34108,851,SOUTH SOUND FUTURE PAC ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVE,WA,98004,,0.00,197236.39,7473.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7096'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,TERI HICKEL ,,,,7473.00,For,,3810,4245,8737,HICKT  354,HICKEL,TERI,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,REPUBLICAN,HICKT  354,,,,,,,,,,,,,
14082.entity,7095,C6.3 - Identified Entities,34108,851,SOUTH SOUND FUTURE PAC ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVE,WA,98004,,0.00,189763.39,75500.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7095'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,TERI HICKEL ,,,,75500.00,For,,3810,4245,8737,HICKT  354,HICKEL,TERI,STATE REPRESENTATIVE,LEG DISTRICT 30 - HOUSE,REPUBLICAN,HICKT  354,,,,,,,,,,,,,
14081.entity,7094,C6.3 - Identified Entities,33105,942,CITIZENS FOR PROGRESS ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,215945.47,9910.24,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7094'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,LISA WELLMAN ,,,,9910.24,Against,,30266,4480,20980,WELLL  040,WELLMAN,LISA,STATE SENATOR,LEG DISTRICT 41 - SENATE,DEMOCRAT,WELLL  040,,,,,,,,,,,,,
14080.entity,7093,C6.3 - Identified Entities,33105,942,CITIZENS FOR PROGRESS ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,206035.23,50000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7093'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,LISA WELLMAN ,,,,50000.00,Against,,30266,4480,20980,WELLL  040,WELLMAN,LISA,STATE SENATOR,LEG DISTRICT 41 - SENATE,DEMOCRAT,WELLL  040,,,,,,,,,,,,,
14078.entity,7092,C6.3 - Identified Entities,33877,600,PLANNED PARENTHOOD VOTES NORTHWEST ,"A business, union, group, association, organization, or other person using only general treasury funds.",Independent Expenditure,2016-10-26T00:00:00.000,2016,2001 E MADISON,SEATTLE,WA,98122,,0.00,81363.02,698.61,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7092'},"{'type': 'Point', 'coordinates': [-122.30516, 47.61744]}",,LYNNETTE VEHRS ,,,,419.16,For,,3897,4381,20122,VEHRL  223,VEHRS,LYNNETTE,STATE REPRESENTATIVE,LEG DISTRICT 06 - HOUSE,DEMOCRAT,VEHRL  223,,,,,,,,,,,,,
14077.entity,7091,C6.3 - Identified Entities,33105,969,CITIZENS FOR WORKING COURTS ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,539800.00,125000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7091'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,CHARLES WIGGINS ,,,,62500.00,Against,,3981,4507,21347,WIGGC  110,WIGGINS,CHARLES,STATE SUPREME COURT JUSTICE,SUPREME COURT,NON PARTISAN,WIGGC  110,,,,,,,,,,,,,
14076.entity,7091,C6.3 - Identified Entities,33105,969,CITIZENS FOR WORKING COURTS ENTERPRISE WASHINGTON ,A political committee filing C-3 and C-4 reports. (RCW 42.17A.205 - .240),Electioneering Communication,2016-10-26T00:00:00.000,2016,1603 116TH AVE NE #120,BELLEVUE,WA,98004,,0.00,539800.00,125000.00,,,,,,,,,,{'url': 'https://web.pdc.wa.gov/rptimg/default.aspx?batchnumber=C6-7091'},"{'type': 'Point', 'coordinates': [-122.18576, 47.62528]}",,DAVID LARSON ,,,,62500.00,For,,2540,4131,11105,LARSD  003,LARSON,DAVID,STATE SUPREME COURT JUSTICE,SUPREME COURT,NONE,LARSD  003,,,,,,,,,,,,,
